Open Time,Type,Volume,Symbol,Open Price,S/L,T/P,Close Time,Close Price,Commission,Swap,Profit,Comment
2001.01.01 00:00:00,balance,,,,,,,,0,0,2000,Add funds 2000
2013.01.02 16:00:00,sell,0.2,EURUSD,1.31681,0,0,2013.01.10 12:00:00,1.3189,0,0,-41.8,
2013.01.10 12:00:00,buy,0.2,EURUSD,1.31327,0,0,2013.02.07 12:00:00,1.34295,0,0,593.6,
2013.01.22 08:00:00,sell,0.19582,EURUSD,1.32741,0,0,2013.01.24 08:00:00,1.33275,0,0,-104.57,
2013.02.07 12:00:00,sell,0.185363,EURUSD,1.34617,0,0,2013.03.07 12:00:00,1.31003,0,0,669.9,
2013.03.07 12:00:00,buy,0.244723,EURUSD,1.30714,0,0,2013.03.08 12:00:00,1.29758,0,0,-233.96,
2013.03.15 08:00:00,buy,0.288317,EURUSD,1.30467,0,0,2013.03.18 00:00:00,1.29022,0,0,-416.62,
2013.04.04 16:00:00,buy,0.246655,EURUSD,1.28716,0,0,2013.04.16 00:00:00,1.3031,0,0,393.17,
2013.04.16 00:00:00,sell,0.246655,EURUSD,1.30454,0,0,2013.04.16 12:00:00,1.31272,0,0,-201.76,
2013.04.22 12:00:00,sell,0.265796,EURUSD,1.30311,0,0,2013.04.29 12:00:00,1.30871,0,0,-148.85,
2013.05.24 08:00:00,buy,0.250911,EURUSD,1.29529,0,0,2013.05.28 16:00:00,1.28639,0,0,-223.31,
2013.05.30 00:00:00,buy,0.22858,EURUSD,1.29529,0,0,2013.06.21 12:00:00,1.31638,0,0,482.08,
2013.06.21 12:00:00,sell,0.22858,EURUSD,1.31922,0,0,2013.07.16 12:00:00,1.31252,0,0,153.15,
2013.07.16 12:00:00,buy,0.276788,EURUSD,1.31227,0,0,2013.08.01 16:00:00,1.32204,0,0,270.42,
2013.08.01 16:00:00,sell,0.292103,EURUSD,1.32187,0,0,2013.08.02 16:00:00,1.32885,0,0,-203.89,
2013.08.28 16:00:00,sell,0.298756,EURUSD,1.33117,0,0,2013.09.09 12:00:00,1.32136,0,0,293.08,
2013.09.09 12:00:00,buy,0.298756,EURUSD,1.32088,0,0,2013.10.09 08:00:00,1.35271,0,0,950.94,
2013.10.09 08:00:00,sell,0.328064,EURUSD,1.35452,0,0,2013.10.17 08:00:00,1.36204,0,0,-246.7,
2013.10.30 16:00:00,sell,0.398488,EURUSD,1.37352,0,0,2013.11.15 12:00:00,1.34961,0,0,952.78,
2013.11.15 12:00:00,buy,0.398488,EURUSD,1.34894,0,0,2013.11.21 00:00:00,1.3424,0,0,-260.61,
2013.12.18 20:00:00,sell,0.467705,EURUSD,1.37102,0,0,2013.12.27 04:00:00,1.3764,0,0,-251.63,
