Open Time,Type,Volume,Symbol,Open Price,S/L,T/P,Close Time,Close Price,Commission,Swap,Profit,Comment
2001.01.01 00:00:00,balance,,,,,,,,0,0,2000,Add funds 2000
2011.01.05 20:00:00,sell,0.2,EURUSD,1.31436,0,0,2011.01.13 12:00:00,1.33224,0,0,-357.6,
2011.01.13 08:00:00,buy,0.2,EURUSD,1.31331,0,0,2011.02.04 12:00:00,1.35541,0,0,842,
2011.02.04 12:00:00,sell,0.16424,EURUSD,1.35753,0,0,2011.02.08 04:00:00,1.3635,0,0,-98.05,
2011.02.11 04:00:00,sell,0.238635,EURUSD,1.35753,0,0,2011.02.16 16:00:00,1.35625,0,0,30.55,
2011.02.16 16:00:00,buy,0.238635,EURUSD,1.35617,0,0,2011.03.10 04:00:00,1.38677,0,0,730.22,
2011.03.10 04:00:00,sell,0.24169,EURUSD,1.38723,0,0,2011.03.14 00:00:00,1.39318,0,0,-143.81,
2011.03.25 16:00:00,sell,0.300331,EURUSD,1.40731,0,0,2011.03.30 16:00:00,1.41288,0,0,-167.28,
2011.04.18 00:00:00,sell,0.283603,EURUSD,1.44114,0,0,2011.04.20 08:00:00,1.44944,0,0,-235.39,
2011.04.20 20:00:00,buy,0.260064,EURUSD,1.45187,0,0,2011.05.05 12:00:00,1.46712,0,0,396.6,
2011.05.05 12:00:00,sell,0.260064,EURUSD,1.47779,0,0,2011.05.19 00:00:00,1.42763,0,0,1304.48,
2011.05.18 16:00:00,buy,0.299724,EURUSD,1.42667,0,0,2011.05.20 12:00:00,1.41868,0,0,-239.48,
2011.05.27 00:00:00,buy,0.406224,EURUSD,1.4191142105263,1.41911,0,2011.06.09 12:00:00,1.45045,0,0,1272.93,
2011.06.09 12:00:00,sell,0.406224,EURUSD,1.45745,0,0,2011.06.20 12:00:00,1.43162,0,0,1049.28,
2011.06.20 12:00:00,buy,0.533517,EURUSD,1.43031,0,0,2011.06.23 08:00:00,1.42447,0,0,-311.57,
2011.06.29 12:00:00,buy,0.607288,EURUSD,1.44135,0,0,2011.07.06 08:00:00,1.4361,0,0,-318.83,
2011.07.06 08:00:00,sell,0.607288,EURUSD,1.44227,0,0,2011.07.21 00:00:00,1.42548,0,0,1019.64,
2011.07.21 00:00:00,buy,0.575405,EURUSD,1.42355,0,0,2011.07.21 08:00:00,1.41688,0,0,-383.8,
2011.07.21 08:00:00,buy,0.638989,EURUSD,1.42346,0,0,2011.08.01 16:00:00,1.42458,0,0,71.57,
2011.08.01 16:00:00,sell,0.638989,EURUSD,1.42896,0,0,2011.08.03 20:00:00,1.43639,0,0,-474.77,
2011.08.04 04:00:00,sell,0.598669,EURUSD,1.42896,0,0,2011.08.08 00:00:00,1.43491,0,0,-356.21,
2011.09.01 04:00:00,sell,0.563048,EURUSD,1.4363793984962,1.43638,0,2011.09.28 08:00:00,1.36562,0,0,3984.09,
2011.09.28 08:00:00,buy,0.6,EURUSD,1.36562,0,0,2011.09.28 16:00:00,1.35617,0,0,-567,
2011.09.29 08:00:00,buy,0.904757,EURUSD,1.36553,0,0,2011.09.29 16:00:00,1.35731,0,0,-743.71,
2011.10.10 08:00:00,buy,0.830386,EURUSD,1.34891,0,0,2011.10.18 08:00:00,1.36832,0,0,1611.78,
2011.10.18 08:00:00,sell,0.830386,EURUSD,1.37319,0,0,2011.10.19 04:00:00,1.38163,0,0,-700.85,
2011.11.29 08:00:00,buy,0.921479,EURUSD,1.33825,0,0,2011.11.29 16:00:00,1.33224,0,0,-553.81,
2011.11.30 12:00:00,buy,0.866098,EURUSD,1.33825,0,0,2011.12.08 12:00:00,1.33298,0,0,-456.43,
