Open Time,Type,Volume,Symbol,Open Price,S/L,T/P,Close Time,Close Price,Commission,Swap,Profit,Comment
2001.01.01 00:00:00,balance,,,,,,,,0,0,2000,Add funds 2000
2014.01.07 12:00:00,buy,0.2,EURUSD,1.36453,1.35953,0,2014.01.08 08:00:00,1.35953,0,0,-100,
2014.01.09 20:00:00,buy,0.19,EURUSD,1.36112,1.35612,0,2014.01.17 16:00:00,1.35612,0,0,-95,
2014.01.23 08:00:00,buy,0.1805,EURUSD,1.3571,1.3521,0,2014.01.28 08:00:00,1.36383,0,0,121.48,
2014.01.28 08:00:00,sell,0.1805,EURUSD,1.36608,1.37108,0,2014.02.05 16:00:00,1.35352,0,0,226.71,
2014.02.05 16:00:00,buy,0.192648,EURUSD,1.35314,1.34814,0,2014.02.12 12:00:00,1.35743,0,0,82.65,
2014.02.12 08:00:00,sell,0.215319,EURUSD,1.3627,1.3677,0,2014.02.13 08:00:00,1.3677,0,0,-107.66,
2014.02.20 08:00:00,sell,0.212818,EURUSD,1.37309,1.37809,0,2014.02.28 12:00:00,1.37809,0,0,-106.41,
2014.03.06 12:00:00,buy,0.202177,EURUSD,1.37709,1.37209,0,2014.03.19 20:00:00,1.38158,0,0,90.78,
2014.03.19 20:00:00,sell,0.202177,EURUSD,1.38481,1.38981,0,2014.03.24 16:00:00,1.38758,0,0,-56,
2014.03.24 16:00:00,buy,0.211255,EURUSD,1.38054,1.37554,0,2014.03.25 16:00:00,1.37554,0,0,-105.63,
2014.04.01 08:00:00,buy,0.195092,EURUSD,1.3787,1.3737,0,2014.04.03 16:00:00,1.3737,0,0,-97.55,
2014.04.17 12:00:00,buy,0.185337,EURUSD,1.38493,1.37993,0,2014.04.21 16:00:00,1.37993,0,0,-92.67,
2014.04.21 16:00:00,sell,0.17607,EURUSD,1.38087,1.38587,0,2014.04.28 08:00:00,1.38587,0,0,-88.03,
2014.04.28 08:00:00,buy,0.17607,EURUSD,1.385,1.38,0,2014.04.29 16:00:00,1.38103,0,0,-69.9,
2014.04.29 16:00:00,sell,0.167267,EURUSD,1.38192,1.38692,0,2014.04.30 12:00:00,1.38692,0,0,-83.63,
2014.05.02 20:00:00,buy,0.151914,EURUSD,1.38714,1.38214,0,2014.05.08 12:00:00,1.3908,0,0,55.6,
2014.05.08 16:00:00,sell,0.151914,EURUSD,1.39061,1.39561,0,2014.05.19 12:00:00,1.37238,0,0,276.94,
2014.05.19 08:00:00,buy,0.157474,EURUSD,1.37194,1.36694,0,2014.05.21 12:00:00,1.36694,0,0,-78.74,
2014.06.05 12:00:00,sell,0.177294,EURUSD,1.35881,1.36381,0,2014.06.05 20:00:00,1.36381,0,0,-88.65,
2014.06.05 12:00:00,buy,0.168429,EURUSD,1.36398,1.35898,0,2014.06.09 16:00:00,1.35898,0,0,-84.21,
2014.06.09 16:00:00,sell,0.160008,EURUSD,1.35874,1.36374,0,2014.06.16 16:00:00,1.35703,0,0,27.36,
2014.06.16 16:00:00,buy,0.160008,EURUSD,1.35708,1.35208,0,2014.07.03 12:00:00,1.3602,0,0,49.92,
2014.07.03 12:00:00,sell,0.162744,EURUSD,1.36472,1.36972,0,2014.07.09 16:00:00,1.36269,0,0,33.04,
2014.07.09 16:00:00,buy,0.167736,EURUSD,1.36182,1.35682,0,2014.07.15 16:00:00,1.35682,0,0,-83.87,
2014.07.15 12:00:00,sell,0.162653,EURUSD,1.35961,1.36461,0,2014.09.11 12:00:00,1.29507,0,0,1049.76,
2014.09.11 12:00:00,buy,0.162653,EURUSD,1.29432,1.28932,0,2014.09.17 20:00:00,1.28932,0,0,-81.33,
2014.10.07 20:00:00,buy,0.259496,EURUSD,1.2676,1.2626,0,2014.10.07 20:00:00,1.26683,0,0,-19.98,
2014.10.08 12:00:00,buy,0.257498,EURUSD,1.2676,1.2626,0,2014.10.10 12:00:00,1.2626,0,0,-128.75,
2014.10.15 16:00:00,buy,0.244623,EURUSD,1.27588,1.27088,0,2014.10.16 12:00:00,1.27088,0,0,-122.31,
2014.10.21 12:00:00,sell,0.232392,EURUSD,1.27506,1.28006,0,2014.10.27 16:00:00,1.27052,0,0,105.51,
2014.10.27 16:00:00,buy,0.232392,EURUSD,1.27048,1.26548,0,2014.10.29 20:00:00,1.26548,0,0,-116.2,
2014.11.14 16:00:00,buy,0.231323,EURUSD,1.24846,1.24346,0,2014.11.21 08:00:00,1.24346,0,0,-115.66,
2014.11.21 08:00:00,sell,0.219757,EURUSD,1.25171,1.25671,0,2014.12.10 16:00:00,1.24283,0,0,195.14,
2014.12.10 04:00:00,buy,0.219757,EURUSD,1.23973,1.23473,0,2014.12.17 16:00:00,1.24128,0,0,34.06,
2014.12.17 16:00:00,sell,0.239271,EURUSD,1.24215,1.24715,0,2014.12.17 20:00:00,1.24715,0,0,-119.64,
2014.12.17 16:00:00,sell,0.230713,EURUSD,1.24215,1.24715,0,2015.02.03 12:00:00,1.14427,0,0,2258.22,
