Open Time,Type,Volume,Symbol,Open Price,S/L,T/P,Close Time,Close Price,Commission,Swap,Profit,Comment
2001.01.01 00:00:00,balance,,,,,,,,0,0,2000,Add funds 2000
2013.01.02 16:00:00,sell,0.2,EURUSD,1.31674,0,0,2013.01.10 12:00:00,1.3189,0,0,-43.2,
2013.01.10 12:00:00,buy,0.2,EURUSD,1.31306,0,0,2013.02.07 12:00:00,1.34295,0,0,597.8,
2013.02.07 12:00:00,sell,0.19568,EURUSD,1.34629,0,0,2013.03.07 12:00:00,1.31003,0,0,709.54,
2013.03.07 12:00:00,buy,0.326414,EURUSD,1.30715,0,0,2013.03.08 12:00:00,1.29758,0,0,-312.38,
2013.03.15 08:00:00,buy,0.295176,EURUSD,1.30435,0,0,2013.03.18 00:00:00,1.29022,0,0,-417.08,
2013.03.22 12:00:00,buy,0.253468,EURUSD,1.29546,0,0,2013.03.25 12:00:00,1.28797,0,0,-189.85,
2013.04.04 16:00:00,buy,0.234483,EURUSD,1.28717,0,0,2013.04.16 00:00:00,1.3031,0,0,373.53,
2013.04.16 00:00:00,sell,0.234483,EURUSD,1.30448,0,0,2013.04.16 12:00:00,1.31272,0,0,-193.21,
2013.04.23 08:00:00,sell,0.252515,EURUSD,1.30282,0,0,2013.04.29 12:00:00,1.30871,0,0,-148.73,
2013.05.09 20:00:00,sell,0.237642,EURUSD,1.30592,0,0,2013.05.21 16:00:00,1.29003,0,0,377.61,
2013.05.21 16:00:00,buy,0.237642,EURUSD,1.28901,0,0,2013.05.23 00:00:00,1.28348,0,0,-131.42,
2013.05.24 08:00:00,buy,0.262261,EURUSD,1.29477,0,0,2013.05.28 16:00:00,1.28639,0,0,-219.77,
2013.05.30 00:00:00,buy,0.240284,EURUSD,1.29479,0,0,2013.06.21 12:00:00,1.31638,0,0,518.77,
2013.06.21 12:00:00,sell,0.240284,EURUSD,1.31952,0,0,2013.07.11 00:00:00,1.30748,0,0,289.3,
2013.07.11 00:00:00,buy,0.292161,EURUSD,1.3065,0,0,2013.08.01 16:00:00,1.32204,0,0,454.02,
2013.08.01 16:00:00,sell,0.321091,EURUSD,1.32187,0,0,2013.08.02 16:00:00,1.32885,0,0,-224.12,
2013.08.29 04:00:00,sell,0.344081,EURUSD,1.3315,0,0,2013.09.09 12:00:00,1.32136,0,0,348.9,
2013.09.09 12:00:00,buy,0.344081,EURUSD,1.31981,0,0,2013.10.09 08:00:00,1.35271,0,0,1132.03,
2013.10.09 08:00:00,sell,0.378971,EURUSD,1.35487,0,0,2013.10.17 08:00:00,1.36204,0,0,-271.72,
2013.10.30 16:00:00,sell,0.465002,EURUSD,1.37376,0,0,2013.11.13 16:00:00,1.34552,0,0,1313.17,
2013.11.13 16:00:00,buy,0.465002,EURUSD,1.34495,0,0,2013.12.18 20:00:00,1.3675,0,0,1048.58,
2013.12.18 20:00:00,sell,0.596319,EURUSD,1.37117,0,0,2013.12.27 04:00:00,1.3764,0,0,-311.87,
