Open Time,Type,Volume,Symbol,Open Price,S/L,T/P,Close Time,Close Price,Commission,Swap,Profit,Comment
2001.01.01 00:00:00,balance,,,,,,,,0,0,2000,Add funds 2000
2015.02.03 12:00:00,buy,0.2,EURUSD,1.13771,0,0,2015.02.06 16:00:00,1.13218,0,0,-110.6,
2015.03.18 16:00:00,buy,0.18894,EURUSD,1.06369,0,0,2015.03.30 16:00:00,1.08191,0,0,344.25,
2015.03.30 16:00:00,sell,0.18894,EURUSD,1.08186,0,0,2015.04.02 16:00:00,1.08793,0,0,-114.69,
2015.04.09 16:00:00,sell,0.211896,EURUSD,1.07214,0,0,2015.04.16 12:00:00,1.07408,0,0,-41.11,
2015.04.16 12:00:00,buy,0.211896,EURUSD,1.07338,0,0,2015.04.21 08:00:00,1.06816,0,0,-110.61,
2015.04.23 08:00:00,buy,0.196724,EURUSD,1.07338,0,0,2015.05.08 20:00:00,1.12076,0,0,932.08,
2015.05.08 20:00:00,sell,0.196724,EURUSD,1.12135,0,0,2015.05.13 12:00:00,1.13069,0,0,-183.74,
2015.05.19 12:00:00,sell,0.271558,EURUSD,1.1136,0,0,2015.06.02 08:00:00,1.09823,0,0,417.38,
2015.06.02 08:00:00,buy,0.271558,EURUSD,1.09832,0,0,2015.06.23 08:00:00,1.12376,0,0,690.84,
2015.06.23 12:00:00,sell,0.313296,EURUSD,1.12289,0,0,2015.07.10 04:00:00,1.10967,0,0,414.18,
2015.07.10 00:00:00,buy,0.38238,EURUSD,1.10762,0,0,2015.07.13 16:00:00,1.1019,0,0,-218.72,
2015.07.23 08:00:00,buy,0.401926,EURUSD,1.09657,0,0,2015.07.30 08:00:00,1.09676,0,0,7.64,
2015.07.30 12:00:00,sell,0.401926,EURUSD,1.09648,0,0,2015.07.31 12:00:00,1.10552,0,0,-363.34,
2015.08.04 20:00:00,sell,0.366356,EURUSD,1.09129,0,0,2015.08.07 20:00:00,1.09647,0,0,-189.77,
2015.08.11 12:00:00,buy,0.347379,EURUSD,1.10576,0,0,2015.08.27 08:00:00,1.12824,0,0,780.91,
2015.08.27 08:00:00,sell,0.347379,EURUSD,1.13127,0,0,2015.09.10 00:00:00,1.12309,0,0,284.16,
2015.09.10 00:00:00,buy,0.42547,EURUSD,1.12155,0,0,2015.09.18 20:00:00,1.1298,0,0,351.01,
2015.09.18 20:00:00,sell,0.453886,EURUSD,1.13025,0,0,2015.09.28 16:00:00,1.12374,0,0,295.48,
2015.09.28 12:00:00,buy,0.488987,EURUSD,1.11928,0,0,2015.10.22 08:00:00,1.13118,0,0,581.89,
2015.10.22 08:00:00,sell,0.518535,EURUSD,1.13214,0,0,2015.12.03 12:00:00,1.08246,0,0,2576.08,
2015.12.03 12:00:00,buy,0.576724,EURUSD,1.06338,0,0,2015.12.31 16:00:00,1.08651,0,0,1333.96,
