Open Time,Type,Volume,Symbol,Open Price,S/L,T/P,Close Time,Close Price,Commission,Swap,Profit,Comment
2001.01.01 00:00:00,balance,,,,,,,,0,0,2000,Add funds 2000
2015.02.03 12:00:00,buy,0.070150824272185,EURUSD,1.13815,1.10955,0,2015.02.06 16:00:00,1.13218,0,0,-41.88,
2015.02.06 16:00:00,sell,0.10373443983403,EURUSD,1.13382,1.1531,0,2015.03.18 16:00:00,1.06558,0,0,707.88,
2015.03.18 16:00:00,buy,0.1102545045045,EURUSD,1.06401,1.04616,0,2015.03.30 16:00:00,1.08191,0,0,197.36,
2015.03.30 16:00:00,sell,0.11364023870418,EURUSD,1.08185,1.10531,0,2015.04.16 12:00:00,1.07408,0,0,88.3,
2015.04.16 12:00:00,buy,0.13609125475285,EURUSD,1.07299,1.05186,0,2015.05.19 12:00:00,1.11315,0,0,546.54,
2015.05.19 12:00:00,sell,0.088771729323308,EURUSD,1.11355,1.1468,0,2015.06.02 08:00:00,1.09823,0,0,136,
2015.06.02 08:00:00,buy,0.21395718654434,EURUSD,1.09831,1.08187,0,2015.06.08 00:00:00,1.1084,0,0,215.88,
2015.06.08 00:00:00,sell,0.12605619146722,EURUSD,1.10933,1.13816,0,2015.06.10 08:00:00,1.13816,0,0,-363.42,
2015.06.18 00:00:00,buy,0.18585607675906,EURUSD,1.13405,1.1152,0,2015.06.23 04:00:00,1.12712,0,0,-128.8,
2015.06.23 04:00:00,sell,0.24467789473684,EURUSD,1.12904,1.14329,0,2015.07.10 08:00:00,1.11135,0,0,432.84,
2015.07.10 08:00:00,buy,0.15944254510921,EURUSD,1.11259,1.09144,0,2015.07.14 00:00:00,1.09856,0,0,-223.7,
2015.07.14 00:00:00,sell,0.16795303500222,EURUSD,1.09885,1.12142,0,2015.07.23 08:00:00,1.09913,0,0,-4.7,
2015.07.23 08:00:00,buy,0.21657559198543,EURUSD,1.09708,1.08052,0,2015.07.30 16:00:00,1.09119,0,0,-127.56,
2015.07.30 16:00:00,sell,0.17151179585941,EURUSD,1.09213,1.1129,0,2015.08.07 08:00:00,1.09231,0,0,-3.09,
2015.08.07 08:00:00,buy,0.34176517412936,EURUSD,1.09457,1.08443,0,2015.08.17 16:00:00,1.1078,0,0,452.16,
2015.08.17 16:00:00,sell,0.22254539559014,EURUSD,1.10606,1.12148,0,2015.08.20 16:00:00,1.12148,0,0,-343.16,
2015.08.20 16:00:00,buy,0.18175821355236,EURUSD,1.12131,1.10174,0,2015.08.27 08:00:00,1.12824,0,0,125.96,
2015.08.27 08:00:00,sell,0.083643987715568,EURUSD,1.12888,1.17121,0,2015.09.10 00:00:00,1.12309,0,0,48.43,
2015.09.10 00:00:00,buy,0.24218031704095,EURUSD,1.12337,1.10814,0,2015.09.21 12:00:00,1.12436,0,0,23.98,
2015.09.21 12:00:00,sell,0.19379447052687,EURUSD,1.12664,1.14581,0,2015.10.02 12:00:00,1.12868,0,0,-39.53,
2015.10.02 12:00:00,buy,0.19699789251844,EURUSD,1.12962,1.11055,0,2015.10.19 12:00:00,1.13329,0,0,72.3,
2015.10.19 12:00:00,sell,0.23340630914826,EURUSD,1.1334,1.14925,0,2015.12.03 12:00:00,1.08246,0,0,1188.97,
2015.12.03 12:00:00,buy,0.48668258064517,EURUSD,1.06364,1.0558,0,2015.12.03 12:00:00,1.0558,0,0,-381.56,
2015.12.03 12:00:00,buy,0.27857271980279,EURUSD,1.06378,1.05152,0,2015.12.16 20:00:00,1.09101,0,0,758.55,
