Open Time,Type,Volume,Symbol,Open Price,S/L,T/P,Close Time,Close Price,Commission,Swap,Profit,Comment
2001.01.01 00:00:00,balance,,,,,,,,0,0,2000,Add funds 2000
2014.01.02 08:00:00,sell,0.12820512820513,EURUSD,1.37371,1.38931,0,2014.01.10 12:00:00,1.36753,0,0,79.23,
2014.01.10 12:00:00,buy,0.23068050749712,EURUSD,1.36345,1.35469,0,2014.01.17 12:00:00,1.35785,0,0,-129.18,
2014.01.17 12:00:00,sell,0.17695574468085,EURUSD,1.3582,1.36995,0,2014.01.23 08:00:00,1.36364,0,0,-96.26,
2014.01.23 08:00:00,buy,0.26000666666666,EURUSD,1.35829,1.3507,0,2014.01.29 12:00:00,1.3662,0,0,205.67,
2014.01.29 12:00:00,sell,0.17132994454714,EURUSD,1.36308,1.3739,0,2014.02.06 12:00:00,1.3606,0,0,42.49,
2014.02.06 12:00:00,buy,0.26235159235669,EURUSD,1.35562,1.34768,0,2014.02.26 16:00:00,1.36711,0,0,301.44,
2014.02.26 16:00:00,sell,0.23804643261608,EURUSD,1.36853,1.37736,0,2014.02.28 12:00:00,1.37736,0,0,-210.19,
2014.02.28 12:00:00,buy,0.16870769230769,EURUSD,1.3773,1.36421,0,2014.03.19 20:00:00,1.38158,0,0,72.21,
2014.03.19 20:00:00,sell,0.17517571884984,EURUSD,1.38427,1.39679,0,2014.04.01 12:00:00,1.37991,0,0,76.38,
2014.04.01 12:00:00,buy,0.21699329501916,EURUSD,1.38096,1.37043,0,2014.04.03 16:00:00,1.37043,0,0,-228.49,
2014.04.03 16:00:00,sell,0.18392515230635,EURUSD,1.37048,1.38197,0,2014.04.09 16:00:00,1.38197,0,0,-211.33,
2014.04.09 16:00:00,buy,0.12825151719488,EURUSD,1.38217,1.36725,0,2014.05.09 12:00:00,1.37834,0,0,-49.12,
2014.05.09 12:00:00,sell,0.10595933147632,EURUSD,1.38107,1.39902,0,2014.06.05 16:00:00,1.36376,0,0,183.42,
2014.06.05 16:00:00,buy,0.12570217096337,EURUSD,1.36509,1.35026,0,2014.07.15 16:00:00,1.35671,0,0,-105.34,
2014.07.15 16:00:00,sell,0.16186565977742,EURUSD,1.35745,1.37003,0,2014.08.08 08:00:00,1.33887,0,0,300.75,
2014.08.08 08:00:00,buy,0.30994060995185,EURUSD,1.33952,1.3332,0,2014.08.19 12:00:00,1.3332,0,0,-195.88,
2014.08.19 12:00:00,sell,0.20480885311871,EURUSD,1.33314,1.34308,0,2014.09.16 16:00:00,1.29655,0,0,749.4,
2014.09.16 16:00:00,buy,0.17150800336984,EURUSD,1.29789,1.28593,0,2014.09.17 20:00:00,1.28593,0,0,-205.12,
2014.09.17 20:00:00,sell,0.18874030724214,EURUSD,1.28593,1.2996,0,2014.10.08 20:00:00,1.27342,0,0,236.11,
2014.10.08 20:00:00,buy,0.13063696202532,EURUSD,1.26974,1.2499,0,2014.10.22 00:00:00,1.27117,0,0,18.68,
2014.10.22 00:00:00,sell,0.15830185497471,EURUSD,1.27074,1.28853,0,2014.11.14 16:00:00,1.25147,0,0,305.05,
2014.11.14 16:00:00,buy,0.18899133333333,EURUSD,1.25086,1.23577,0,2014.11.21 08:00:00,1.24383,0,0,-132.86,
2014.11.21 08:00:00,sell,0.19986760025462,EURUSD,1.24421,1.25992,0,2014.12.11 00:00:00,1.24519,0,0,-19.59,
2014.12.11 00:00:00,buy,0.14457019230769,EURUSD,1.2455,1.22461,0,2014.12.17 20:00:00,1.23411,0,0,-164.67,
2014.12.17 20:00:00,sell,0.15149442190669,EURUSD,1.23712,1.25684,0,2015.02.03 12:00:00,1.14427,0,0,1406.63,
