Open Time,Type,Volume,Symbol,Open Price,S/L,T/P,Close Time,Close Price,Commission,Swap,Profit,Comment
2001.01.01 00:00:00,balance,,,,,,,,0,0,2000,Add funds 2000
2012.01.13 04:00:00,buy,0.20964360587001,EURUSD,1.2836047590361,1.2787447590361,0,2012.01.13 08:00:00,1.2787447590361,0,0,-101.89,
2012.01.13 20:00:00,sell,0.044348364485981,EURUSD,1.26609,1.2875,0,2012.01.18 00:00:00,1.27789,0,0,-52.33,
2012.01.18 00:00:00,buy,0.14922248427673,EURUSD,1.2778,1.27135,0,2012.02.14 00:00:00,1.31588,0,0,568.24,
2012.02.06 08:00:00,sell,0.1220753968254,EURUSD,1.30354,1.3111,0,2012.02.06 11:59:59,1.30428,0,0,-10.13,
2012.02.13 20:00:00,sell,0.15071018062398,EURUSD,1.31696,1.32305,0,2012.02.13 23:59:59,1.31731,0,0,-6.63,
2012.02.14 00:00:00,sell,0.15071018062398,EURUSD,1.31696,1.32305,0,2012.02.20 00:00:00,1.32305,0,0,-91.78,
2012.02.20 00:00:00,buy,0.21635920577617,EURUSD,1.32035,1.31184,0,2012.03.01 12:00:00,1.33078,0,0,225.66,
2012.03.01 08:00:00,sell,0.24015416666666,EURUSD,1.33227,1.33707,0,2012.03.01 11:59:59,1.33251,0,0,-7.93,
2012.03.01 12:00:00,sell,0.24015416666666,EURUSD,1.33227,1.33707,0,2012.03.19 12:00:00,1.32068,0,0,278.34,
2012.03.16 12:00:00,buy,0.27911615044247,EURUSD,1.31796,1.31344,0,2012.03.16 15:59:59,1.31737,0,0,-16.47,
2012.03.16 16:00:00,buy,0.27911615044247,EURUSD,1.31805,1.31344,0,2012.03.16 19:59:59,1.31713,0,0,-25.68,
2012.03.19 00:00:00,buy,0.27911615044247,EURUSD,1.31806,1.31344,0,2012.03.19 03:59:59,1.3165,0,0,-43.54,
2012.03.19 12:00:00,buy,0.27911615044247,EURUSD,1.31805,1.31344,0,2012.03.22 08:00:00,1.31344,0,0,-128.67,
2012.03.22 16:00:00,buy,0.24781513409962,EURUSD,1.3183461746988,1.3130361746988,0,2012.04.03 20:00:00,1.32347,0,0,126.98,
2012.04.03 20:00:00,sell,0.22814726631394,EURUSD,1.32756,1.33323,0,2012.04.12 04:00:00,1.31392,0,0,311.19,
2012.04.11 08:00:00,buy,0.28272604166667,EURUSD,1.31383,1.30894,0,2012.04.11 11:59:59,1.31379,0,0,-1.13,
2012.04.11 12:00:00,buy,0.28272604166667,EURUSD,1.31386,1.30894,0,2012.04.11 15:59:59,1.31316,0,0,-19.79,
2012.04.11 16:00:00,buy,0.28272604166667,EURUSD,1.31383,1.30894,0,2012.04.11 19:59:59,1.31062,0,0,-90.76,
2012.04.12 04:00:00,buy,0.28272604166667,EURUSD,1.31383,1.30894,0,2012.04.13 16:00:00,1.30894,0,0,-138.25,
2012.04.16 04:00:00,sell,0.071421255790015,EURUSD,1.30196,1.32139,0,2012.04.20 16:00:00,1.32139,0,0,-138.77,
2012.04.20 12:00:00,buy,0.26998346303502,EURUSD,1.3196668072289,1.3144368072289,0,2012.04.20 15:59:59,1.31929,0,0,-10.17,
